iter	Passed	Remaining
1022	11157	21562
1023	11168	21551
1024	11179	21540
1025	11191	21531
1026	11201	21520
1027	11212	21508
1028	11223	21498
1029	11234	21486
1030	11244	21474
1031	11256	21465
1032	11266	21454
1033	11277	21441
1034	11288	21431
1035	11298	21419
1036	11309	21407
1037	11320	21396
1038	11330	21384
1039	11340	21372
1040	11350	21359
1041	11362	21350
1042	11373	21340
1043	11383	21328
1044	11394	21317
1045	11405	21306
1046	11415	21293
1047	11426	21283
1048	11437	21272
1049	11448	21261
1050	11459	21250
1051	11470	21239
1052	11480	21227
1053	11490	21214
1054	11502	21205
1055	11512	21193
1056	11524	21183
1057	11535	21173
1058	11547	21164
1059	11558	21154
1060	11568	21141
1061	11579	21130
1062	11589	21118
1063	11600	21108
1064	11610	21095
1065	11622	21085
1066	11633	21074
1067	11643	21063
1068	11654	21052
1069	11665	21042
1070	11676	21031
1071	11687	21020
1072	11698	21009
1073	11708	20996
1074	11719	20985
1075	11729	20974
1076	11739	20961
1077	11750	20950
1078	11760	20938
1079	11772	20928
1080	11783	20918
1081	11794	20907
1082	11804	20895
1083	11815	20884
1084	11825	20871
1085	11835	20859
1086	11846	20849
1087	11857	20837
1088	11869	20828
1089	11880	20817
1090	11890	20805
1091	11901	20795
1092	11912	20784
1093	11923	20772
1094	11933	20761
1095	11944	20750
1096	11954	20738
1097	11965	20727
1098	11977	20717
1099	11989	20708
1100	11999	20697
1101	12012	20689
1102	12022	20677
1103	12033	20666
1104	12044	20655
1105	12068	20666
1106	12088	20671
1107	12108	20676
1108	12122	20671
1109	12135	20663
1110	12146	20652
1111	12156	20639
1112	12167	20628
1113	12176	20615
1114	12186	20601
1115	12196	20589
1116	12205	20575
1117	12214	20561
1118	12224	20548
1119	12233	20534
1120	12242	20521
1121	12252	20507
1122	12262	20496
1123	12272	20483
1124	12282	20471
1125	12294	20461
1126	12303	20448
1127	12314	20436
1128	12324	20424
1129	12334	20411
1130	12345	20400
1131	12354	20387
1132	12364	20374
1133	12375	20363
1134	12384	20350
1135	12395	20338
1136	12405	20326
1137	12414	20313
1138	12425	20302
1139	12435	20289
1140	12446	20278
1141	12456	20266
1142	12467	20255
1143	12477	20243
1144	12488	20232
1145	12499	20221
1146	12509	20209
1147	12520	20198
1148	12530	20185
1149	12542	20176
1150	12552	20164
1151	12562	20152
1152	12574	20143
1153	12585	20132
1154	12595	20119
1155	12606	20108
1156	12616	20097
1157	12627	20086
1158	12638	20075
1159	12648	20063
1160	12660	20053
1161	12670	20042
1162	12681	20030
1163	12692	20020
1164	12703	20008
1165	12712	19996
1166	12723	19985
1167	12734	19973
1168	12744	19961
1169	12755	19950
1170	12765	19938
1171	12777	19928
1172	12789	19920
1173	12802	19911
1174	12814	19903
1175	12829	19898
1176	12842	19890
1177	12855	19882
1178	12866	19873
1179	12877	19862
1180	12890	19854
1181	12904	19847
1182	12916	19838
1183	12927	19827
1184	12939	19818
1185	12951	19809
1186	12962	19798
1187	12973	19788
1188	12986	19779
1189	12997	19769
1190	13010	19761
1191	13022	19751
1192	13034	19742
1193	13044	19731
1194	13054	19718
1195	13066	19708
1196	13076	19696
1197	13087	19686
1198	13100	19677
1199	13110	19666
1200	13121	19654
1201	13131	19643
1202	13142	19631
1203	13152	19619
1204	13164	19609
1205	13174	19597
1206	13185	19587
1207	13197	19577
1208	13207	19565
1209	13218	19553
1210	13228	19542
1211	13238	19530
1212	13249	19519
1213	13259	19507
1214	13269	19494
1215	13279	19483
1216	13289	19470
1217	13299	19458
